gene_name,uniprot,hgnc_symbol,ensembl
ITGA6,P23229,ITGA6,ENSG00000091409
ITGA7,Q13683,ITGA7,ENSG00000135424
ITGA9,Q13797,ITGA9,ENSG00000144668
ITGAL,P20701,ITGAL,ENSG00000005844
ITGAM,P11215,ITGAM,ENSG00000169896
ITGAV,P06756,ITGAV,ENSG00000138448
ITGAX,P20702,ITGAX,ENSG00000140678
ITGB1,P05556,ITGB1,ENSG00000150093
ITGB2,P05107,ITGB2,ENSG00000160255
ITGB3,P05106,ITGB3,ENSG00000259207
ITGB4,P16144,ITGB4,ENSG00000132470
ITGB6,P18564,ITGB6,ENSG00000115221
JAG1,P78504,JAG1,ENSG00000101384
JAG2,Q9Y219,JAG2,ENSG00000184916
JAM2,P57087,JAM2,ENSG00000154721
JAM3,Q9BX67,JAM3,ENSG00000166086
KDR,P35968,KDR,ENSG00000128052
KIT,P10721,KIT,ENSG00000157404
KITLG,P21583,KITLG,ENSG00000049130
KLRK1,P26718,KLRK1,ENSG00000213809
LAMA3,Q16787,LAMA3,ENSG00000053747
LAMC1,P11047,LAMC1,ENSG00000135862
LEFTY1,O75610,LEFTY1,ENSG00000243709
LEFTY2,O00292,LEFTY2,ENSG00000143768
LEP,P41159,LEP,ENSG00000174697
LEPR,P48357,LEPR,ENSG00000116678
LIF,P15018,LIF,ENSG00000128342
LIFR,P42702,LIFR,ENSG00000113594
LTA,P01374,LTA,ENSG00000223919
LTA,P01374,LTA,ENSG00000226275
LTA,P01374,LTA,ENSG00000230279
LTA,P01374,LTA,ENSG00000226979
LTA,P01374,LTA,ENSG00000231408
LTA,P01374,LTA,ENSG00000238130
LTA,P01374,LTA,ENSG00000173503
LTBR,P36941,LTBR,ENSG00000111321
MDK,P21741,MDK,ENSG00000110492
MET,P08581,MET,ENSG00000105976
MPL,P40238,MPL,ENSG00000117400
MST1,P26927,MST1,ENSG00000173531
MST1R,Q04912,MST1R,ENSG00000164078
MSTN,O14793,MSTN,ENSG00000138379
NCAM1,P13591,NCAM1,ENSG00000149294
NECTIN1,Q15223,NECTIN1,ENSG00000110400
NECTIN2,Q92692,NECTIN2,ENSG00000130202
NECTIN3,Q9NQS3,NECTIN3,ENSG00000177707
NECTIN4,Q96NY8,NECTIN4,ENSG00000143217
NGF,P01138,NGF,ENSG00000134259
NGFR,P08138,NGFR,ENSG00000064300
NODAL,Q96S42,NODAL,ENSG00000156574
NOTCH1,P46531,NOTCH1,ENSG00000148400
NOTCH2,Q04721,NOTCH2,ENSG00000134250
NOTCH3,Q9UM47,NOTCH3,ENSG00000074181
NOTCH4,Q99466,NOTCH4,ENSG00000206312
NOTCH4,Q99466,NOTCH4,ENSG00000234876
NOTCH4,Q99466,NOTCH4,ENSG00000223355
NOTCH4,Q99466,NOTCH4,ENSG00000204301
NOTCH4,Q99466,NOTCH4,ENSG00000235396
NOTCH4,Q99466,NOTCH4,ENSG00000232339
NOTCH4,Q99466,NOTCH4,ENSG00000238196
NRG1,Q02297,NRG1,ENSG00000157168
NRG2,O14511,NRG2,ENSG00000158458
NRG3,P56975,NRG3,ENSG00000185737
NRG4,Q8WWG1,NRG4,ENSG00000169752
NRP1,O14786,NRP1,ENSG00000099250
NRP2,O60462,NRP2,ENSG00000118257
NRTN,Q99748,NRTN,ENSG00000171119
NTF3,P20783,NTF3,ENSG00000185652
NTF4,P34130,NTF4,ENSG00000225950
NTRK1,P04629,NTRK1,ENSG00000198400
NTRK2,Q16620,NTRK2,ENSG00000148053
NTRK3,Q16288,NTRK3,ENSG00000140538
OSM,P13725,OSM,ENSG00000099985
OSMR,Q99650,OSMR,ENSG00000145623
PDGFA,P04085,PDGFA,ENSG00000197461
PDGFB,P01127,PDGFB,ENSG00000100311
PDGFC,Q9NRA1,PDGFC,ENSG00000145431
PDGFD,Q9GZP0,PDGFD,ENSG00000170962
PDGFRA,P16234,PDGFRA,ENSG00000134853
PDGFRB,P09619,PDGFRB,ENSG00000113721
PF4,P02776,PF4,ENSG00000163737
PGF,P49763,PGF,ENSG00000119630
PLXNC1,O60486,PLXNC1,ENSG00000136040
PPBP,P02775,PPBP,ENSG00000163736
PSPN,O60542,PSPN,ENSG00000125650
PTN,P21246,PTN,ENSG00000105894
PTPRZ1,P23471,PTPRZ1,ENSG00000106278
PVR,P15151,PVR,ENSG00000073008
RAET1G,Q6H3X3,RAET1G,ENSG00000203722
RAET1L,Q5VY80,RAET1L,ENSG00000155918
RET,P07949,RET,ENSG00000165731
SELE,P16581,SELE,ENSG00000007908
SEMA3A,Q14563,SEMA3A,ENSG00000075213
SEMA3C,Q99985,SEMA3C,ENSG00000075223
SEMA3F,Q13275,SEMA3F,ENSG00000001617
SEMA7A,O75326,SEMA7A,ENSG00000138623
SIGIRR,Q6IA17,SIGIRR,ENSG00000185187
SIRPA,P78324,SIRPA,ENSG00000198053
SIRPB1,O00241,SIRPB1,ENSG00000101307
SIRPG,Q9P1W8,SIRPG,ENSG00000089012
SPN,P16150,SPN,ENSG00000197471
SPP1,P10451,SPP1,ENSG00000118785
TDGF1,P13385,TDGF1,ENSG00000241186
TGFA,P01135,TGFA,ENSG00000163235
TGFB1,P01137,TGFB1,ENSG00000105329
TGFB2,P61812,TGFB2,ENSG00000092969
TGFB3,P10600,TGFB3,ENSG00000119699
TGFBR1,P36897,TGFBR1,ENSG00000106799
TGFBR2,P37173,TGFBR2,ENSG00000163513
TGFBR3,Q03167,TGFBR3,ENSG00000069702
THPO,P40225,THPO,ENSG00000090534
TIGIT,Q495A1,TIGIT,ENSG00000181847
TNF,P01375,TNF,ENSG00000228321
TNF,P01375,TNF,ENSG00000204490
TNF,P01375,TNF,ENSG00000228978
TNF,P01375,TNF,ENSG00000228849
TNF,P01375,TNF,ENSG00000230108
TNF,P01375,TNF,ENSG00000232810
TNF,P01375,TNF,ENSG00000206439
TNF,P01375,TNF,ENSG00000223952
TNFRSF10A,O00220,TNFRSF10A,ENSG00000104689
TNFRSF10B,O14763,TNFRSF10B,ENSG00000120889
TNFRSF10C,O14798,TNFRSF10C,ENSG00000173535
TNFRSF10D,Q9UBN6,TNFRSF10D,ENSG00000173530
TNFRSF11A,Q9Y6Q6,TNFRSF11A,ENSG00000141655
TNFRSF11B,O00300,TNFRSF11B,ENSG00000164761
TNFRSF12A,Q9NP84,TNFRSF12A,ENSG00000006327
TNFRSF13B,O14836,TNFRSF13B,ENSG00000240505
TNFRSF14,Q92956,TNFRSF14,ENSG00000157873
TNFRSF14,Q92956,TNFRSF14,ENSG00000273936
TNFRSF17,Q02223,TNFRSF17,ENSG00000048462
TNFRSF18,Q9Y5U5,TNFRSF18,ENSG00000186891
TNFRSF1A,P19438,TNFRSF1A,ENSG00000067182
TNFRSF1B,P20333,TNFRSF1B,ENSG00000028137
TNFRSF6B,O95407,TNFRSF6B,ENSG00000243509
TNFRSF9,Q07011,TNFRSF9,ENSG00000049249
TNFSF10,P50591,TNFSF10,ENSG00000121858
TNFSF11,O14788,TNFSF11,ENSG00000120659
TNFSF12,O43508,TNFSF12,ENSG00000239697
TNFSF13,O75888,TNFSF13,ENSG00000161955
TNFSF13B,Q9Y275,TNFSF13B,ENSG00000102524
TNFSF14,O43557,TNFSF14,ENSG00000125735
TNFSF15,O95150,TNFSF15,ENSG00000181634
TNFSF18,Q9UNG2,TNFSF18,ENSG00000120337
TNFSF9,P41273,TNFSF9,ENSG00000125657
TSLP,Q969D9,TSLP,ENSG00000145777
TYROBP,O43914,TYROBP,ENSG00000011600
VEGFA,P15692,VEGFA,ENSG00000112715
VEGFB,P49765,VEGFB,ENSG00000173511
VEGFC,P49767,VEGFC,ENSG00000150630
VEGFD,O43915,VEGFD,ENSG00000165197
VTN,P04004,VTN,ENSG00000109072
WNT1,P04628,WNT1,ENSG00000125084
WNT2,P09544,WNT2,ENSG00000105989
WNT2B,Q93097,WNT2B,ENSG00000134245
WNT3,P56703,WNT3,ENSG00000277641
WNT3,P56703,WNT3,ENSG00000108379
WNT3,P56703,WNT3,ENSG00000277626
WNT4,P56705,WNT4,ENSG00000162552
WNT5A,P41221,WNT5A,ENSG00000114251
WNT7A,O00755,WNT7A,ENSG00000154764
WNT7B,P56706,WNT7B,ENSG00000188064
XCL1,P47992,XCL1,ENSG00000143184
XCL2,Q9UBD3,XCL2,ENSG00000143185
XCR1,P46094,XCR1,ENSG00000173578
